Time(s),Linear(mm)
8.32,0.00109
8.33,0.00169
8.34,0.00131
8.35,0.00143
8.36,0.00139
8.37,0.00095
8.38,0.00166
8.39,0.00164
8.4,0.0012
8.41,0.00151
8.42,0.00149
8.43,0.00138
8.44,0.00161
8.45,0.0011
8.46,0.00146
8.47,0.00176
8.48,0.00101
8.49,0.00132
8.5,0.00146
8.51,0.00139
8.52,0.00168
8.53,0.0013
8.54,0.00128
8.55,0.00177
8.56,0.00128
8.57,0.0013
8.58,0.00175
8.59,0.00119
8.6,0.00149
8.61,0.00128
8.62,0.00124
8.63,0.00175
8.64,0.00134
8.65,0.00115
8.66,0.00165
8.67,0.00147
8.68,0.00146
8.69,0.00153
8.7,0.00103
8.71,0.0016
8.72,0.00158
8.73,0.00117
8.74,0.00157
8.75,0.00129
8.76,0.00127
8.77,0.00161
8.78,0.00133
8.79,0.00149
8.8,0.00163
8.81,0.00106
8.82,0.00157
8.83,0.00171
8.84,0.00119
8.85,0.00141
8.86,0.00122
8.87,0.00141
8.88,0.00181
8.89,0.00119
8.9,0.00124
8.91,0.00162
8.92,0.00124
8.93,0.0016
8.94,0.00164
8.95,0.00123
8.96,0.00154
8.97,0.00115
8.98,0.00143
8.99,0.0019
9,0.00124
9.01,0.0011
9.02,0.00156
9.03,0.0014
9.04,0.00173
9.05,0.00134
9.06,0.00109
9.07,0.00182
9.08,0.00146
9.09,0.00128
9.1,0.00167
9.11,0.00139
9.12,0.00138
9.13,0.00162
9.14,0.00119
9.15,0.00161
9.16,0.00148
9.17,0.00113
9.18,0.00172
9.19,0.00146
9.2,0.00128
9.21,0.00164
9.22,0.00137
9.23,0.00153
9.24,0.00161
9.25,0.00108
9.26,0.00165
9.27,0.00178
9.28,0.00117
9.29,0.0014
9.3,0.00123
9.31,0.00143
9.32,0.00181
9.33,0.00125
9.34,0.00138
9.35,0.00169
9.36,0.00125
9.37,0.00155
9.38,0.00171
9.39,0.00127
9.4,0.00161
9.41,0.00118
9.42,0.00132
9.43,0.00177
9.44,0.00126
9.45,0.00121
9.46,0.00164
9.47,0.00141
9.48,0.00175
9.49,0.00154
9.5,0.00113
9.51,0.00177
9.52,0.00139
9.53,0.00135
9.54,0.00169
9.55,0.00132
9.56,0.00135
9.57,0.00146
9.58,0.0012
9.59,0.00175
9.6,0.00171
9.61,0.00108
9.62,0.00168
9.63,0.00157
9.64,0.00146
9.65,0.00158
9.66,0.00119
9.67,0.00149
9.68,0.00174
9.69,0.00112
9.7,0.00135
9.71,0.00163
9.72,0.00131
9.73,0.00172
9.74,0.0014
9.75,0.00129
9.76,0.00176
9.77,0.00127
9.78,0.00148
9.79,0.0017
9.8,0.00122
9.81,0.00135
9.82,0.00159
9.83,0.00131
9.84,0.00177
9.85,0.00129
9.86,0.00118
9.87,0.00194
9.88,0.00146
9.89,0.00134
9.9,0.00147
9.91,0.00138
9.92,0.00169
9.93,0.00153
9.94,0.00092
9.95,0.00166
9.96,0.0016
9.97,0.00133
9.98,0.00158
9.99,0.00125
10,0.0016
10.01,0.00172
10.02,0.00116
10.03,0.00148
10.04,0.00169
10.05,0.00122
10.06,0.00155
10.07,0.00138
10.08,0.00122
10.09,0.0017
10.1,0.00126
10.11,0.0015
10.12,0.00168
10.13,0.00111
10.14,0.00144
10.15,0.00167
10.16,0.00133
10.17,0.00161
10.18,0.00125
10.19,0.00125
10.2,0.00182
10.21,0.00126
10.22,0.00124
10.23,0.00167
10.24,0.0013
10.25,0.00161
10.26,0.00152
10.27,0.00105
10.28,0.00157
10.29,0.00157
10.3,0.00132
10.31,0.00175
10.32,0.00117
10.33,0.00127
10.34,0.00169
10.35,0.00132
10.36,0.00155
10.37,0.00151
10.38,0.00115
10.39,0.00166
10.4,0.00152
10.41,0.00122
10.42,0.0016
10.43,0.00138
10.44,0.0015
10.45,0.00169
10.46,0.00109
10.47,0.00148
10.48,0.00168
