Time (ms), Load Cell 1, Load Cell 2, Acc1 x (g), Acc1 y (g), Acc1 z (g), Gyr1 +x (g), Gyr1 +y (g), Gyr1 +z (g), Acc2 x (g), Acc2 y (g), Acc2 z (g), Gyr2 +x (g), Gyr2 +y (g), Gyr2 +z (g), Encoder (count)
1468,-18,42,0.00032349,0.00042117,0.99905396,0.11642464,-0.03799435,-0.009613,0.00004761,0.00147092,1.00090826,0.01327519,-0.04104615,0.04394527,0
1483,-18,42,-0.00053101,0.00060427,0.9992981,0.10879524,-0.06088253,0.02090458,0.00041382,0.00098264,1.0002979,0.02090458,-0.01815797,0.03631588,0
1498,-18,42,0.00038452,0.00090945,0.99850464,0.07827766,-0.03036496,0.01327519,0.00053589,0.00098264,0.99993169,0.03616337,0.01235961,0.02105709,0
1513,-18,42,0.00038452,0.00078738,0.99777222,0.09353645,-0.03799435,0.02853398,-0.00050171,0.00049436,1.00066411,0.00564579,-0.01815797,0.0057983,0
1528,-18,42,-0.0001648,0.00097048,0.99899292,0.10116585,-0.03036496,0.00564579,0.00059692,0.00018919,0.99950445,0.02090458,0.01235961,0.03631588,0
1543,-18,44,0.00038452,0.00109255,0.99887085,0.09353645,-0.03036496,-0.01724239,0.00120728,-0.00036013,0.99956548,0.04379277,0.01998901,-0.0018311,0
1557,-20,44,-0.00004273,0.00115359,1.00003052,0.13168342,-0.04562375,-0.0019836,0.00041382,-0.00060427,0.99944341,0.02090458,-0.02578736,0.01342769,0
1572,-20,44,0.00038452,0.00054324,0.9992981,0.12405403,-0.02273556,0.00564579,0.00065796,-0.0002991,0.99938238,-0.0019836,0.00473022,0.02105709,0
1587,-20,44,0.00056763,0.00023806,0.99996948,0.13931282,-0.02273556,0.00564579,0.00023071,0.00037229,0.99993169,0.01327519,-0.01052857,0.01342769,0
1602,-20,44,-0.00059204,0.00005496,1.00082397,0.13931282,0.00015262,-0.03250118,0.00078003,0.0007385,0.99926031,0.01327519,-0.02578736,0.02105709,0
1617,-20,44,0.00062866,-0.00025022,1.0007019,0.11642464,0.00778202,-0.0019836,0.00132935,0.00122678,0.99974859,-0.0019836,-0.01815797,0.01342769,0
1631,-20,44,0.00001831,0.00017703,1.00112915,0.11642464,-0.01510617,-0.01724239,-0.00007446,0.00122678,1.00084722,0.00564579,-0.03341676,-0.00946049,0
1646,-20,47,0.00062866,-0.00043333,1.00057983,0.10116585,-0.01510617,-0.01724239,0.00102417,0.00128782,1.00078619,0.02090458,-0.00289918,-0.00946049,0
1661,-18,47,0.00142212,-0.0005554,1.00088501,0.09353645,-0.03799435,-0.01724239,-0.00068481,0.00147092,1.0013355,0.02090458,-0.04104615,-0.03234867,0
1676,-18,47,0.0008728,-0.00049436,1.00076294,0.07827766,-0.04562375,-0.0019836,-0.00092896,0.00189817,1.00139654,0.01327519,-0.02578736,-0.00946049,0
1691,-18,47,0.00148315,-0.00025022,0.99880981,0.08590706,-0.03036496,-0.009613,-0.00001343,0.00140989,1.00109136,0.01327519,-0.01052857,0.02105709,0
1705,-18,47,0.00038452,0.0002991,0.99972534,0.10879524,-0.05325314,-0.01724239,-0.00141724,0.00092161,1.00206792,0.02853398,-0.02578736,0.01342769,0
1720,-18,47,0.00056763,0.00060427,0.99978638,0.10116585,-0.06851193,-0.03250118,0.00053589,0.00067747,1.00078619,0.05142216,0.01235961,0.02105709,0
1735,-18,47,0.00050659,0.00036013,0.9992981,0.12405403,-0.05325314,-0.02487179,-0.00098999,0.00092161,1.00127447,0.03616337,-0.04104615,0.0057983,0
1750,-14,49,0.00001831,0.00036013,0.9994812,0.12405403,-0.08377072,-0.03250118,-0.0003186,0.00079954,1.0011524,0.03616337,-0.01052857,0.01342769,0
1765,-14,49,0.00111694,0.00066531,1.00003052,0.11642464,-0.06088253,-0.04013057,0.00059692,0.00067747,0.99999273,0.02090458,0.0352478,0.03631588,0
1780,-14,49,-0.00004273,0.00078738,0.99972534,0.11642464,-0.06851193,-0.0019836,-0.00080688,0.00031126,1.00041997,0.02090458,0.00473022,0.04394527,0
1794,-14,49,0.00014038,0.00060427,0.99960327,0.09353645,-0.05325314,-0.009613,-0.00001343,-0.00005496,1.00084722,0.02090458,0.04287719,0.03631588,0
1809,-14,49,0.00056763,0.00017703,0.99899292,0.11642464,-0.03799435,-0.01724239,-0.00025757,0.00043333,1.00103033,0.00564579,-0.01815797,0.02868648,0
1824,-14,49,0.00001831,0.00017703,0.99874878,0.12405403,-0.02273556,-0.009613,-0.00080688,0.00067747,0.99987066,0.00564579,-0.02578736,-0.00946049,0
1839,-14,52,0.00020142,-0.00025022,0.99960327,0.13168342,-0.01510617,-0.009613,0.00041382,0.00037229,0.99913824,-0.009613,0.01998901,0.02105709,0
1854,-10,52,-0.00040894,-0.00025022,0.99862671,0.08590706,-0.03799435,-0.0019836,-0.00056274,0.00067747,1.00017583,-0.01724239,-0.02578736,0.02868648,0
1868,-10,52,0.00050659,-0.00067747,0.9994812,0.10116585,0.00015262,-0.01724239,0.00004761,0.00043333,1.00103033,-0.0019836,0.01235961,-0.0018311,0
1883,-10,52,0.00142212,-0.00067747,0.99966431,0.162201,-0.00747677,-0.009613,0.00010864,0.00122678,1.00145757,0.01327519,0.01998901,-0.01708988,0
1898,-10,52,0.00020142,-0.00079954,0.99972534,0.13168342,-0.03036496,-0.009613,-0.00007446,0.00153196,1.00164068,-0.01724239,-0.01052857,0.0057983,0
1913,-10,52,0.00038452,-0.00049436,0.99813843,0.12405403,-0.02273556,0.01327519,0.00108521,0.00140989,0.99968755,0.00564579,0.01998901,-0.00946049,0
1928,-10,52,0.00001831,0.00011599,0.99783325,0.08590706,-0.01510617,-0.009613,-0.00062378,0.00128782,1.00090826,0.02853398,-0.03341676,-0.01708988,0
1942,-9,55,-0.00004273,-0.00000608,0.99862671,0.07064827,-0.02273556,-0.009613,-0.0003186,0.00140989,1.00096929,0.02853398,-0.01815797,-0.01708988,0
1957,-9,55,0.00056763,0.00017703,0.99819946,0.07064827,-0.02273556,-0.0019836,-0.00007446,0.00092161,1.00041997,0.02090458,-0.04104615,0.02105709,0
1972,-9,55,-0.00010376,0.00078738,0.99917603,0.06301887,-0.05325314,0.01327519,-0.00019653,0.00122678,1.00066411,0.04379277,-0.04104615,0.0057983,0
1987,-9,55,0.00020142,0.00036013,0.99942017,0.05538948,-0.00747677,0.01327519,0.0009021,0.00092161,1.00023687,0.01327519,0.00473022,0.0057983,0
2002,-9,55,-0.00028687,0.00054324,0.99893188,0.07827766,-0.03799435,0.01327519,0.00016968,0.00067747,1.00035894,0.00564579,-0.01815797,0.0057983,0
2017,-9,55,-0.00077515,0.00054324,1.00021362,0.08590706,-0.06851193,-0.009613,-0.00019653,0.00086057,1.00072515,0.00564579,0.01998901,0.02868648,0
2031,-9,55,0.00038452,0.00121462,1.00015259,0.08590706,-0.03036496,-0.01724239,0.00016968,0.0005554,0.99974859,0.02853398,-0.01052857,0.03631588,0
2046,-7,57,-0.00065308,0.00121462,1.00003052,0.10116585,-0.06851193,-0.01724239,0.00010864,0.00025022,1.00054204,0.02853398,-0.01815797,0.03631588,0
2061,-7,57,0.00044556,0.00103152,0.99917603,0.14694221,-0.02273556,-0.009613,0.00126831,-0.00042117,0.99968755,0.03616337,-0.01052857,0.03631588,0
2076,-7,57,0.00007934,0.00066531,1.00045776,0.12405403,-0.03799435,-0.02487179,0.00010864,-0.0002991,1.00066411,0.02090458,-0.01052857,0.03631588,0
2091,-7,57,0.00038452,0.00036013,1.0007019,0.12405403,-0.04562375,-0.009613,0.00041382,0.00043333,1.00066411,0.02090458,-0.04104615,0.07446285,0
2105,-7,57,0.00099487,0.00011599,0.99893188,0.15457161,0.00015262,-0.02487179,0.00151245,0.00067747,1.0002979,-0.03250118,0.00473022,0.06683345,0
2120,-7,57,-0.00010376,0.00042117,0.99813843,0.13168342,-0.03036496,-0.009613,0.00065796,0.00043333,1.00035894,-0.04013057,-0.01052857,0.06683345,0
2135,-5,57,0.0008728,-0.00025022,0.99813843,0.13931282,-0.00747677,0.02090458,0.00151245,0.0005554,1.00035894,-0.02487179,0.00473022,0.05157467,0
2150,-5,60,0.00020142,-0.00079954,0.99893188,0.10879524,-0.03036496,0.02853398,-0.00050171,0.00110471,1.00170171,0.01327519,-0.06393433,0.04394527,0
2165,-5,60,0.00001831,-0.0007385,0.99996948,0.11642464,-0.03036496,0.01327519,0.00016968,0.00098264,1.00151861,0.02853398,-0.04104615,0.01342769,0
2180,-5,60,0.00111694,-0.0005554,0.99954224,0.13168342,-0.03036496,0.01327519,0.0009021,0.00159299,1.00060308,0.02090458,-0.04867554,0.0057983,0
2194,-5,60,0.0006897,-0.00061643,1.00094604,0.11642464,-0.07614133,0.01327519,-0.00086792,0.00214231,1.00145757,0.00564579,-0.03341676,0.04394527,0
2209,-5,60,0.00099487,-0.00067747,0.99911499,0.12405403,-0.05325314,-0.0019836,0.00029175,0.00165403,1.00054204,0.02853398,0.00473022,0.05157467,0
