timestamp, load cell 1, load cell 2, gyro_1_x, gyro_1_y, gyro_1_z, gyro_2_x, gyro_2_y, gyro_2_z, imu_1_X, imu_1_Y, imu_1_Z, imu_2_X, imu_2_Y, imu_2_Z, encoder count
31399,0.006463742730292,6.79770682074807,0.104425305669958,-0.007559989833019,-0.014481992376122,0.018449309197339,0.028076174457304,-0.006436401893469,-4.04545454545455,-1.90269886363636,16391.5176669034,-3.43635142933239,13.3852982954545,16366.4912997159,0
,,,,,,,,,,,,,,,
31429,0.006463742730292,6.87960689718073,0.107893212275072,-0.01241505924951,-0.016562736423856,0.014981402761557,0.022527523762123,-0.008517145771872,-4.5,-1.35724431818182,16390.3359375,-2.43635142933239,12.1125710227273,16367.9458451705,0
,,,,,,,,,,,,,,,
31459,0.00642065111209,6.96150697361339,0.10997395623814,-0.0151893845336,-0.015869155102833,0.018449309366671,0.01905961715701,-0.009904308329252,-4.5,0.097301136363636,16390.8813920455,-1.79998779296875,11.4762073863636,16368.0367542614,0
,,,,,,,,,,,,,,,
31479,0.00642065111209,7.04340705004605,0.111361118880185,-0.0151893845336,-0.012401248413054,0.016368565572934,0.016978873193941,-0.014759377576411,-3.86363636363636,0.642755681818182,16391.9723011364,-2.79998779296875,12.6580255681818,16366.9458451705,0
,,,,,,,,,,,,,,,
31509,0.00642065111209,7.04340705004605,0.110667537559162,-0.013108640570532,-0.009626923044297,0.014981402930888,0.016285291915252,-0.018227284096859,-3.13636363636364,-0.720880681818182,16389.4269353693,-2.43635142933239,14.0216619318182,16368.3094815341,0
,,,,,,,,,,,,,,,
31539,0.00642065111209,7.04340705004605,0.111361118880185,-0.01241505924951,-0.010320504449985,0.012207077816129,0.016978873236274,-0.022388772361658,-4.04545454545455,-1.99360795454545,16387.4270241477,-1.79998779296875,13.7489346590909,16369.5822088068,0
,,,,,,,,,,,,,,,
31574,0.006506834348494,7.04340705004605,0.109280374917117,-0.014495803212578,-0.013788411139765,0.013594240458174,0.018366036047651,-0.022388772361658,-4.77272727272727,-1.99360795454545,16386.5179332386,-1.2545332475142,13.5671164772727,16370.7640269886,0
,,,,,,,,,,,,,,,
31604,0.006549925966696,6.96150697361339,0.110667537559162,-0.015882965854623,-0.01517557378181,0.013594240458174,0.021140361458741,-0.022388772361658,-3.77272727272727,-2.08451704545455,16386.3361150568,-1.3454423384233,13.83984375,16370.5822088068,0
,,,,,,,,,,,,,,,
31644,0.006593017584898,6.8386568589644,0.107199630954049,-0.018657291138714,-0.01517557378181,0.015674984251911,0.018366036005318,-0.022388772361658,-4.77272727272727,-1.35724431818182,16387.6997514205,-1.61816961115057,14.3852982954545,16371.6731178977,0
,,,,,,,,,,,,,,,
31675,0.006593017584898,6.71580674431541,0.100263817743822,-0.020738035271114,-0.017949899150567,0.017755728214979,0.017672454684296,-0.02030802839859,-5.5,-2.5390625,16388.2452059659,-1.98180597478693,16.2034801136364,16371.2185724432,0
,,,,,,,,,,,,,,,
31705,0.006593017584898,6.59295662966642,0.09471516717564,-0.024205942045559,-0.021417805840346,0.019142890687693,0.013510966631161,-0.016146540387788,-5.86363636363636,-2.72088068181818,16389.2451171875,-2.2545332475142,17.9307528409091,16369.4912997159,0
,,,,,,,,,,,,,,,
31735,0.006593017584898,6.47010651501742,0.094021585854617,-0.026286686008627,-0.019337061877278,0.021917215802453,0.014898129273206,-0.009904308413917,-5.59090909090909,-1.99360795454545,16394.1542080966,-2.89089688387784,17.3852982954545,16368.4912997159,0
,,,,,,,,,,,,,,,
31765,0.006463742730292,6.34725640036843,0.091940841891549,-0.02489952319725,-0.017256317829544,0.024691541086544,0.019059617326341,-0.00296849520369,-4.77272727272727,-1.5390625,16398.6995738636,-4.98180597478693,16.2943892045455,16367.3094815341,0
,,,,,,,,,,,,,,,
31780,0.006377559493889,6.22440628571944,0.089860097928481,-0.02489952319725,-0.017949899150567,0.023997959765521,0.023221105421809,0.001886574043469,-3.13636363636364,-3.17542613636364,16400.6995738636,-7.16362415660511,16.4762073863636,16367.0367542614,0
,,,,,,,,,,,,,,,
31820,0.006291376257485,6.06060613285412,0.090553679249503,-0.02489952319725,-0.021417805840346,0.022610797123476,0.025301849384877,0.008822387253696,-3.86363636363636,-2.5390625,16399.5177556818,-6.70907870205966,14.2943892045455,16366.4912997159,0
,,,,,,,,,,,,,,,
31850,0.006075918166475,5.93775601820512,0.089860097928481,-0.026980267160318,-0.022804968567057,0.023997959765521,0.029463337438012,0.02061326937242,-4.22727272727273,-2.35724431818182,16402.6085759943,-6.70907870205966,14.2943892045455,16365.2185724432,0
,,,,,,,,,,,,,,,
31881,0.005860460075465,5.81490590355613,0.090553679249503,-0.029061011123386,-0.022804968567057,0.024691541086544,0.031544081570411,0.026161920194599,-2.04545454545455,-3.35724431818182,16406.6084872159,-7.2545332475142,15.6580255681818,16363.4912997159,0
,,,,,,,,,,,,,,,
31911,0.005558818748051,5.7739558653398,0.092634423212572,-0.026980267160318,-0.020724224519323,0.026772284880281,0.030850500080057,0.026161920194599,-1.31818181818182,-3.72088068181818,16408.7903053977,-8.52726052024148,14.9307528409091,16362.5822088068,0
,,,,,,,,,,,,,,,
31941,0.005170994184234,5.81490590355613,0.091247260570526,-0.026286685839295,-0.019337061877278,0.028853028674017,0.032237662722103,0.024774757637219,-1.31818181818182,-4.99360795454545,16408.6084872159,-9.16362415660511,15.83984375,16364.2185724432,0
,,,,,,,,,,,,,,,
31971,0.004783169620416,5.85585594177246,0.099570236422799,-0.02489952319725,-0.017949899235232,0.02954660999504,0.033624825364148,0.021306851116771,-1.13636363636364,-5.44815340909091,16409.3357599432,-9.07271506569602,16.4762073863636,16363.2185724432,0
,,,,,,,,,,,,,,,
31992,0.004438436674801,5.89680597998879,0.105812468312003,-0.022125197743828,-0.015869155272164,0.030933772637086,0.034318406685171,0.018532525917346,-0.772727272727273,-4.62997159090909,16410.7902166193,-8.61816961115057,16.1125710227273,16363.400390625,0
,,,,,,,,,,,,,,,
32022,0.004093703729185,5.93775601820512,0.108586793596094,-0.018657290969383,-0.014481992630119,0.028853028843349,0.035705569284884,0.017838944596323,-1.04545454545455,-2.99360795454545,16412.5174893466,-8.89089688387784,16.1125710227273,16364.0367542614,0
,,,,,,,,,,,,,,,
32052,0.003619695928964,5.97870605642145,0.10997395623814,-0.018657290969383,-0.017256317998875,0.023997959765521,0.034318406642838,0.016451781954278,-2.13636363636364,-3.26633522727273,16411.3356711648,-7.89089688387784,18.0216619318182,16364.8549360795,0
,,,,,,,,,,,,,,,
32073,0.003274962983348,6.01965609463778,0.111361118880185,-0.017270128327337,-0.015175574120473,0.020530053160407,0.032237662510438,0.010903131386096,-3.77272727272727,-3.26633522727273,16408.4265802557,-5.70907870205966,18.9307528409091,16364.9458451705,0
,,,,,,,,,,,,,,,
32103,0.002930230037733,6.06060613285412,0.112748281522231,-0.016576547006315,-0.01448199279945,0.017062146555294,0.030156918378039,0.012290294028141,-5.13636363636364,-1.26633522727273,16408.2447620739,-4.61816961115057,18.4762073863636,16365.400390625,0
,,,,,,,,,,,,,,,
32133,0.002585497092117,6.14250620928678,0.112748281522231,-0.015882965685292,-0.013094830157405,0.019836471670053,0.035011987455867,0.008128806017339,-4.22727272727273,-1.62997159090909,16409.062943892,-5.79998779296875,20.2943892045455,16367.5822088068,0
,,,,,,,,,,,,,,,
32164,0.002326947382905,6.22440628571944,0.10997395623814,-0.015189384364269,-0.012401248836382,0.020530052991076,0.031544080681422,0.00258015578782,-4.5,-2.62997159090909,16407.2447620739,-5.3454423384233,20.1125710227273,16369.4912997159,0
,,,,,,,,,,,,,,,
32174,0.002068397673694,6.3063063621521,0.105812468312003,-0.016576547175646,-0.013094830157405,0.02191721546379,0.028769755227999,0.003967318429866,-5.86363636363636,-3.08451704545455,16405.2447620739,-5.2545332475142,19.0216619318182,16372.4912997159,0
,,,,,,,,,,,,,,,
32215,0.001809847964482,6.26535632393577,0.10234456170689,-0.018657291138714,-0.013788411563093,0.02191721546379,0.028076173906977,0.003273737108843,-6.13636363636364,-4.62997159090909,16401.6084872159,-3.89089688387784,19.7489346590909,16372.2185724432,0
,,,,,,,,,,,,,,,
32246,0.001594389873472,6.22440628571944,0.101650980385867,-0.017963709817691,-0.015175574205139,0.020530052821745,0.025301848453554,0.007435225034979,-5.13636363636364,-5.5390625,16402.2447620739,-2.3454423384233,19.2034801136364,16369.0367542614,0
,,,,,,,,,,,,,,,
32276,0.001378931782462,6.18345624750311,0.100263817743822,-0.019350872459737,-0.016562736847184,0.020530052821745,0.023914685811509,0.010903131555427,-3.68181818181818,-5.35724431818182,16400.6083984375,-2.43635142933239,18.0216619318182,16369.7640269886,0
,,,,,,,,,,,,,,,
